epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,1306.98,0.03439,0.97424,0.99936,0.12089,0.002575,0.002575,0.002575
77,1320.95,0.02241,0.97457,0.99936,0.122,0.002476,0.002476,0.002476
78,1335.28,0.028,0.97424,0.99936,0.12315,0.002377,0.002377,0.002377
79,1349.18,0.03118,0.97457,0.99936,0.12186,0.002278,0.002278,0.002278
80,1365.49,0.02582,0.97392,0.99936,0.12264,0.002179,0.002179,0.002179
81,1380.53,0.02544,0.97392,0.99936,0.12153,0.00208,0.00208,0.00208
82,1394.82,0.02106,0.9736,0.99936,0.12413,0.001981,0.001981,0.001981
83,1408.78,0.0259,0.9736,0.99936,0.12217,0.001882,0.001882,0.001882
84,1423.02,0.02574,0.97392,0.99936,0.12294,0.001783,0.001783,0.001783
85,1437.07,0.02138,0.97489,0.99936,0.12203,0.001684,0.001684,0.001684
86,1451.25,0.02247,0.97489,0.99936,0.12919,0.001585,0.001585,0.001585
87,1465.38,0.02326,0.97457,0.99936,0.12428,0.001486,0.001486,0.001486
88,1479.62,0.02,0.97392,0.99936,0.12582,0.001387,0.001387,0.001387
89,1494.23,0.01906,0.97424,0.99936,0.12736,0.001288,0.001288,0.001288
90,1508.33,0.02298,0.97392,0.99936,0.12269,0.001189,0.001189,0.001189
91,1535.5,0.02015,0.97392,0.99936,0.12295,0.00109,0.00109,0.00109
